"NBa7we src","d4r55","RfnDt","eaLgGf","hCCjke","rsqaWe","wiI7pd","w8nwRe","Tap5If","dSlJg","znYl0","dSlJg 2","znYl0 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a-/ALV-UjWjKRZ3hQxVJ7cuJTFLA9eJnMToLB1r7NPJP06qSTF_ae0qJ8spBg=w45-h45-p-rp-mo-br100","Sushan Prjpt","2 reviews","","","4 months ago","thank you for giving the excellent service and food was really good. I came with family and i am really satisfied with the way we got treated. A 5 star service from Geeta and team absolutely lovable. We will come again for delicious food.","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX7hY4ClvRLyQZD-I5dssS0AfhMn34IZ2qhFjAS8x8qwVZ037_cww=w45-h45-p-rp-mo-ba4-br100","Tin D","Local Guide · 90 reviews · 152 photos","","","2 years ago","We ate here two nights in a row because we liked it that much. It was packed both nights. Their stuffed chicken wings were simply amazing. They went great with the Sherpa Red craft beer they have on tap.","","+5","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW3cjRSCb5UHihvNPKxLpSSbPh3SxnhEVqr8RN5YXG_VaAq8GWt=w45-h45-p-rp-mo-br100","Komal Paudyal","1 review","","","a month ago","Jimbu Thakali is a true gem for anyone looking to experience authentic Thakali Khana. …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUdJylDIiHxSB9dn0xAFoJY8eMpwYjq4cdSMh65rCtFBg2Xz97Q=w45-h45-p-rp-mo-ba4-br100","Supritam Shrestha","Local Guide · 12 reviews · 322 photos","","","2 months ago","Really good food and hospitable staffs.","More","+8","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW28zVnLImrfDoEa7bJYAv6H4pl4GHV8s1IommlpOCYqR-sQQU3HA=w45-h45-p-rp-mo-ba2-br100","Prashant khadka","Local Guide · 21 reviews · 4 photos","","","a month ago","Food was quite good but little bit more oily , and we had to wait until 10:30 for Khana I hope you guys can change time 10:00 am samma","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUQPpUeWSMOYcsPwT7bVQarMk-j4Fei3bcUEcaX2KBO3Yww5uYEQA=w45-h45-p-rp-mo-br100","Nava Raj Pokharel","7 reviews","","","a month ago","One of the worst thakali I visited in recent times. I visited jimbu thakali with high hopes but was totally disappointment with the services and waiter were not attentive i had to wait for curry for 2 min after there is rice in plate and i …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU1XARrlWkhEe1QJV3v_ejcHhQ1dgZ-08u7kfJDRU6DgqUFBa8x-A=w45-h45-p-rp-mo-ba4-br100","Suraj Shrestha","Local Guide · 68 reviews · 146 photos","","","6 years ago","One of my favourite places for Thakali food. Never been disappointed by the food and service here. The ambiance is always great here. I've almost tasted all the curries in Jimbu and absolutely love them except the fish curry which for some …","More","","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a-/ALV-UjWIGG5Kjg3zNK6OEDH5eOV2qDDkOqQaCmkGm7LfgV9GN0OoMBHu=w45-h45-p-rp-mo-ba4-br100","Lamir Jojo","Local Guide · 99 reviews · 132 photos","","","3 months ago","Beautiful decor and ambiance for sure. I was on a trip to Kathmandu after many years. All I did try go to good restaurants and I find this was on the best I ever had. I wish I tried their thakali cuisine, had timur chicken (had to order …","More","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXI0PVZhBOoXrDSVqIPZMYcrUEaqoC_wM_6j0Swf5734HFzlbU=w45-h45-p-rp-mo-ba6-br100","Traveller Nepal","Local Guide · 667 reviews · 3,506 photos","","","2 years ago","Average food for high price. Place was heavily crowded with people waiting for sitting spaces. Staff have poor hospitality once you are seated. No one asked us for anything until we called the staff for the order. Staff expected us to leave assoon we were done eating.
Not worth your pay.","","","","","","Share","Like","14"
"https://lh3.googleusercontent.com/a-/ALV-UjVTcnlnyEUV3YaA3b1CDZx13lDdtFo3bipORJ8Szx3--Jbdj6g=w45-h45-p-rp-mo-br100","Bindu Khanal","6 reviews","","","3 months ago","Very nice food. We tried the Spaghetti Bolognaise which I would give a 4/5. The pasta was tangy and flavourful. We tried the Captain Grill’s Chicken Burger and that was really really good! I would give this a 4/5 aswell as it was a bit too …","More","","","Like","","Share","",""
